goal_type,keywords,expert_advice_description,expert_advice_url,state
Fitness,"run, 5k",5 ways to improve your 5k Speed,http://www.active.com/running/Articles/5_Ways_to_Improve_Your_5K_Speed.htm,active
Fitness,eat,Easy tips for planning a healthy diet,http://helpguide.org/life/healthy_eating_diet.htm,active
Fitness,eat,How do you get started on healthy eating,http://www.webmd.com/food-recipes/tc/healthy-eating-overview,active
Fitness,eat,Simple steps to improve healthy eating,http://blogs.psychcentral.com/healing-together/2013/03/a-simple-step-to-improve-healthy-eating-recognize-the-roadblocks/,active
Fitness,eat,How to eat healthy,http://www.wikihow.com/Eat-Healthy,active
Fitness,eat,Tips for eating healthy,http://www.realtime.net/anr/10eattip.html,active
Fitness,weight,101 quick ways to lose weight,http://www.fitnesstipsforlife.com/101-tips-to-lose-weight-quickly.html,active
Fitness,weight,How to lose 10 pounds,http://www.fitnesstipsforlife.com/how-to-lose-10-pounds.html,active
Fitness,weight,How to Lose weight fast,http://www.wikihow.com/Lose-Weight-Fast,active
Fitness,weight,10 tips to gain weight,http://www.rediff.com/getahead/2005/aug/23weight.htm,active
Fitness,weight,7 weight gain tips,http://www.gainingweight.info/how-to-gain-weight-7-weight-gain-tips/,active
Fitness,weight,Tips for maintaining weight loss - Topic Overview,http://www.webmd.com/diet/tc/tips-for-maintaining-weight-loss-topic-overview,active
Fitness,weight,Tips for maintaining weight loss,http://ezinearticles.com/?Tips-For-Maintaining-Weight-Loss&id=2480610,active
Fitness,"kid, sports, safety",Sports safety tips for kids,http://www.healthline.com/health/sports-injuries/sports-safety-kids,active
Fitness,"kid, sports, safety",Injury prevention tips for kids,http://childparenting.about.com/od/sportsfitness/a/sportsinjuries.htm,active
Fitness,"kid, sports, leadership",How to develop leadership skills through sports,http://www.ehow.com/how_7799501_develop-leadership-skills-through-sports.html,active
Fitness,sports skills,3 sports psychology tips for skill development,http://www.stack.com/2012/07/23/sports-psych-skill-development/,active
Fitness,sports skills,How to develop skills in sports,http://www.wikihow.com/Be-Good-in-Sports,active
Fitness,"kids, sports",7 reasons to get your child involved in sports,http://www.y-coach.com/involve.html,active
Fitness,"kids, sports",How to be a good team captain,http://www.wikihow.com/Be-a-Good-Team-Captain,active
Fitness,Health,Men's Health Articles,http://www.articlesbase.com/mens-health-articles/,active
Fitness,Health,Women's Health Articles,http://www.articlesbase.com/womens-health-articles/,active
Fitness,basketball,Tips for becoming a great shooter,http://www.basketball-drills-and-plays.com/basketball-shooting-tips.html,active
Fitness,basketball,Basketball Shooting Tips,http://www.ehow.com/basketball-shooting-tips/,active
Fitness,bowling,How to bowl a perfect strike,http://ezinearticles.com/?Bowling-Tips-on-How-to-Bowl-a-Perfect-Strike&id=968074,active
Fitness,bowling,Bowling strikes - tips and hints,http://www.ehow.com/info_7815593_bowling-strikes-tips-hints.html,active
Fitness,football,Tips on becoming a better football player,http://www.streetdirectory.com/travel_guide/46129/soccer/tips_on_becoming_a_better_football_player.html,active
Fitness,football,11 Steps to being a great football player,http://www.wikihow.com/Be-a-Great-Football-Player,active
Fitness,baseball,7 tips on how to become a better baseball player,http://ezinearticles.com/?7-Tips-on-How-to-Become-a-Better-Baseball-Player&id=1307072,active
Fitness,baseball,How to become a pro baseball player,http://www.ehow.com/how_2064537_become-pro-baseball-player.html,active
Fitness,Soccer,How to become an advanced soccer player,http://www.wikihow.com/Become-an-Advanced-Soccer-Player,active
Fitness,Soccer,How to become a good soccer player,http://www.ehow.com/how_4857159_become-good-soccer-player.html,active
Fitness,Dance,72 last minute tips for dance competition,http://www.dance.net/topic/3535457/1/Jazz-Competitions/72-Last-Minute-Tips-for-Competition.html,active
Fitness,Dance,Dance competitions - what you need to know,http://dancefullout.com/2010/09/dance-competitions/,active
Fitness,Golf,8 ways to become a better golfer,http://www.tees2greens.com/blogs/the_golfers_home/archive/2008/11/13/8-ways-to-become-a-better-golfer.aspx,active
Fitness,Golf,How to become a better golfer,http://golftips.golfsmith.com/become-better-golfer-1734.html,active
Fitness,Ice Hockey,7 tips for becoming a better ice hockey player,http://ezinearticles.com/?Seven-Essential-Tips-to-Become-a-Better-Ice-Hockey-Player&id=3138669,active
Fitness,Ice Hockey,5 steps to becoming a better ice hockey player,http://www.wikihow.com/Become-a-Better-Ice-Hockey-Player,active
Fitness,Field Hockey,11 steps to becoming a better field hockey player,http://www.wikihow.com/Be-a-Better-Field-Hockey-Player,active
Fitness,Field Hockey,How to become a better field hockey player,http://answers.yahoo.com/question/index?qid=20080808075943AAHnteH,active
Fitness,Gymnastics,How to do well at gymnastic competitions,http://www.wikihow.com/Do-Well-at-Gymnastics-Competitions,active
Fitness,Gymnastics,How to do gymnastic tricks at home,http://www.buzzle.com/articles/how-to-do-gymnastics-tricks-at-home.html,active
Fitness,Gymnastics,How to get good at gymnastics,http://answers.yahoo.com/question/index?qid=20100718043427AA0MCBX,active
Fitness,swimming,10 tips for swimmers,http://swimming.about.com/od/swimtechniquehelp/tp/betterswimmingtips.htm,active
Fitness,swimming,Exercise tips to become a better swimmer,http://www.wikihow.com/Exercise-to-Become-a-Better-Swimmer,active
Fitness,tennis,How to get really good at tennis,http://www.wikihow.com/Get-Really-Good-at-Tennis,active
Fitness,tennis,Tips on getting better at tennis,http://answers.yahoo.com/question/index?qid=20100624200109AAIu8s7,active
Fitness,tennis,7 tips on becoming a better tennis player,http://ezinearticles.com/?7-Tips-to-Become-a-Better-Tennis-Player&id=3138527,active
Fitness,lacrosse,5 tips for becoming a better lacrosse player,http://www.active.com/lacrosse/articles/5_Tips_to_Be_a_Better_Lacrosse_Player.htm,active
Fitness,lacrosse,How to become a better lacrosse player,http://www.dummies.com/how-to/content/becoming-a-better-lacrosse-player.html,active
Fitness,MMA,3 killer MMA workouts,http://ezinearticles.com/?3-Killer-MMA-Workout-Tips&id=2299916,active
Fitness,MMA,MMA training tips,http://ezinearticles.com/?Mixed-Martial-Arts-Training-Tips&id=1050333,active
Fitness,Boxing,5 boxing tips for beginners,http://heavyfists.com/beginner-boxing-tips,active
Fitness,Boxing,How to get good at boxing,http://answers.yahoo.com/question/index?qid=20100413191833AAt7uPg,active
Fitness,wrestling,Wrestling tips and strategies,http://sfuk.tripod.com/articles/sfukwrestlingtips.html,active
Fitness,wrestling,Good wrestling tips,http://answers.yahoo.com/question/index?qid=20090214171152AA8aTUr,active
Fitness,Arm wrestling,How to win at arm wrestling,http://www.wikihow.com/Win-at-Arm-Wrestling,active
Fitness,Karate,Karate training tips,http://ezinearticles.com/?Karate-Training-Tips&id=3336875,active
Fitness,Quaterback,Top 10 quarterback tips,http://gchgatorqb08.tripod.com/id1.html,active
Fitness,Quaterback,Quarterback basic training,http://footballscrimmage.com/articles/quarterback-basic-training.shtml,active
Fitness,Weight Training,Tips and techniques for better weight training,http://www.building-muscle101.com/weight-lifting-tips.html,active
Fitness,Weight Training,10 weight training success tips,http://weighttraining.about.com/od/succeedingwithweights/qt/success_tips.htm,active
Fitness,Weight Training,Top 10 tips for beginning weight training,http://powertochange.com/life/weightlifting/,active
Fitness,Cardio Training,3 little known tips for cardio,http://ezinearticles.com/?3-Little-Known-Tips-for-Cardio&id=338516,active
Fitness,Cardio Training,6 tips for more intense cardio workout,http://www.shape.com/fitness/cardio/6-tips-more-intense-cardio-workout,active
Fitness,Cardio Training,10 tips to improve your cardio workout,http://www.fitday.com/fitness-articles/fitness/10-tips-to-improve-your-cardio-workout.html,active
Fitness,Archery,Archery Tips for beginners,http://www.archery-tips.com/archerytips/archery-tips-for-beginners,active
Fitness,Archery,Archery Tips and techniques,http://www.buzzle.com/articles/archery-tips.html,active
Fitness,Rugby,75 rugby tips and techniques,http://www.betterrugbycoaching.com/Keyword-75-Rugby-Drills-and-Player-Skills,active
Fitness,Rugby,How to become a better rugby player,http://www.wikihow.com/Become-a-Better-Rugby-Player,active
career,workplace,7 ways to climb the ladder at work,http://www.theladders.com/career-advice/7-ways-to-move-up-by-moving-over,active
career,workplace,Career Advice - Can Introverts get ahead in the workplace,http://www.theladders.com/career-advice/can-introverts-get-ahead-in-the-workplace,active
