Groupon Category ID,SnapGadgetCategoryID
Arts and Entertainment-Arts and Entertainment,27
Arts and Entertainment-Amusement Parks,26
Arts and Entertainment-Aquariums,47
Arts and Entertainment-Arcades,47
Arts and Entertainment-Art Galleries,27
Arts and Entertainment-Arts & Crafts Activites,27
Arts and Entertainment-Ballet & Dance,28
Arts and Entertainment-Biking,26
Arts and Entertainment-Boating,47
Arts and Entertainment-Botanical Gardens,47
Arts and Entertainment-Bowling,78
Arts and Entertainment-Canoe & Kayak Rentals,26
Arts and Entertainment-Casinos,47
Arts and Entertainment-Children's Museum,32
Arts and Entertainment-Circus,32
Arts and Entertainment-Country Clubs,47
Arts and Entertainment-Dance Companies,42
Arts and Entertainment-Dinner Theater,42
Arts and Entertainment-Entertainment,42
Arts and Entertainment-Festivals,36
Arts and Entertainment-Fishing,46
Arts and Entertainment-Fun Centers,32
Arts and Entertainment-Gambling & Gaming,47
Arts and Entertainment-Go Karts,32
Arts and Entertainment-Plane & Helicopter Tours,43
Arts and Entertainment-Hot Air Balloon,26
Arts and Entertainment-Kid's Activities,32
Arts and Entertainment-Laser Tag,32
Arts and Entertainment-Live Music,36
Arts and Entertainment-Miniature Golf,80
Arts and Entertainment-Movie Theaters,35
Arts and Entertainment-Museums,27
Arts and Entertainment-Opera,42
Arts and Entertainment-Paintball,26
Arts and Entertainment-Psychics & Astrologers,47
Arts and Entertainment-Segway Tours,43
Arts and Entertainment-Skating,26
Arts and Entertainment-Skydiving,26
Arts and Entertainment-Speedway,26
Arts and Entertainment-Sporting Events,26
Arts and Entertainment-Symphony & Orchestra,36
Arts and Entertainment-Theater & Plays,42
Arts and Entertainment-Theme Parks,26
Arts and Entertainment-Tours,43
Arts and Entertainment-Walking Tours,43
Arts and Entertainment-Water Parks,26
Arts and Entertainment-Yacht Clubs,47
Arts and Entertainment-Zoos,32
Automotive-Automotive,1
Automotive-Auto Glass Services,1
Automotive-Auto Parts & Accessories,1
Automotive-Auto Repair & Services,1
Automotive-Body Shops & Painting,1
Automotive-Car Dealers,1
Automotive-Car Wash & Detailing,1
Automotive-Gas & Services Stations,1
Automotive-Motorcycle Dealers,1
Automotive-Motorcycle Repair,1
Automotive-Oil Change Stations,1
Automotive-Parking,1
Automotive-Scooters & Mopeds,1
Automotive-Stereo Installation,1
Automotive-Tires & Wheels,1
Automotive-Towing,1
Beauty & Spas-Beauty & Spas,39
Beauty & Spas-Beauty Supply,39
Beauty & Spas-Day Spas,39
Beauty & Spas-Eyelash Services,39
Beauty & Spas-Hair Removal,39
Beauty & Spas-Hair Salons & Barbers,39
Beauty & Spas-Makeup Artists,39
Beauty & Spas-Massage,34
Beauty & Spas-Medical Spas,39
Beauty & Spas-Men's Salons,39
Beauty & Spas-Nail Salons,39
Beauty & Spas-Piercing,41
Beauty & Spas-Skin Care & Facials,29
Beauty & Spas-Tanning Salons,40
Beauty & Spas-Tattoo Removal,41
Beauty & Spas-Tattoos,41
Beauty & Spas-Waxing,39
Education-Education,3
Education-Acting Classes,3
Education-Adult Education,3
Education-Art Classes,3
Education-Bartending Schools,3
Education-Boating & Sailing Classes,3
Education-Business Schools,3
Education-Catholic Schools,3
Education-Charter Schools,3
Education-Colleges & Universities,3
Education-Comedy Classes,3
Education-Cooking Classes,3
Education-Cosmetology Schools,3
Education-Culinary Schools,3
Education-Dance Lessons,3
Education-Driving Lessons,3
Education-Educational Services,3
Education-Educational Supply Stores,3
Education-Elementary Schools,3
Education-Flight Instruction,3
Education-Graduate Schools,3
Education-Language Schools,3
Education-Massage Schools,3
Education-Middle Schools & High Schools,3
Education-Music Lessons,3
Education-Parochial Schools,3
Education-Preparatory Schools,3
Education-Preschools,3
Education-Private Schools,3
Education-Private Tutors,3
Education-Specialty Schools,3
Education-Swimming Lessons,3
Education-Training & Vocational Schools,3
Education-Trucking Schools,3
Education-Voice Lessons,3
Education-Wine Classes,3
Financial Services-Financial Services,4
Financial Services-Banks & Credit Unions,4
Financial Services-Check Cashing/Pay-day Loans,4
Financial Services-Credit Counseling Services,4
Financial Services-Financial Advising,4
Financial Services-Insurance,4
Financial Services-Investing,4
Financial Services-Mortgage Brokers,4
Financial Services-Stock Brokers,4
Financial Services-Tax Preparation,4
Food & Drink-Food & Drink,21
Food & Drink-Bagel Shops,18
Food & Drink-Bakeries,18
Food & Drink-Breweries,19
Food & Drink-Butchers & Meat Shops,60
Food & Drink-Candy Stores,60
Food & Drink-Cheese Shops,60
Food & Drink-Chocolate Shops,60
Food & Drink-Convenience Stores,60
Food & Drink-Espresso Bars,25
Food & Drink-Ethnic Foods,25
Food & Drink-Farmers Market,60
Food & Drink-Food Delivery Services,60
Food & Drink-Fruits & Veggies,60
Food & Drink-Gourmet Foods,60
Food & Drink-Grocery Stores,60
Food & Drink-Health Stores,60
Food & Drink-Home Brewing,60
Food & Drink-Ice Cream & Frozen Yogurt,25
Food & Drink-Juice Bars & Smoothies,25
