zip,primary_city,state,latitude,longitude
1001,Agawam,MA,42.06,-72.61
1002,Amherst,MA,42.37,-72.52
1005,Barre,MA,42.42,-72.1
1007,Belchertown,MA,42.27,-72.4
1008,Blandford,MA,42.18,-72.93
1010,Brimfield,MA,42.11,-72.2
1011,Chester,MA,42.28,-72.98
1012,Chesterfield,MA,42.4,-72.85
1013,Chicopee,MA,42.17,-72.57
1020,Chicopee,MA,42.17,-72.57
1022,Chicopee,MA,42.17,-72.57
1026,Cummington,MA,42.46,-72.9
1027,Easthampton,MA,42.26,-72.68
1028,East Longmeadow,MA,42.06,-72.51
1030,Feeding Hills,MA,42.06,-72.67
1031,Gilbertville,MA,42.35,-72.21
1032,Goshen,MA,42.43,-72.8
1033,Granby,MA,42.26,-72.52
1034,Granville,MA,42.06,-72.86
1035,Hadley,MA,42.35,-72.58
1036,Hampden,MA,42.06,-72.41
1038,Hatfield,MA,42.37,-72.6
1039,Haydenville,MA,42.39,-72.7
1040,Holyoke,MA,42.21,-72.64
1050,Huntington,MA,42.23,-72.88
1053,Leeds,MA,42.35,-72.71
1054,Leverett,MA,42.45,-72.5
1056,Ludlow,MA,42.16,-72.48
1057,Monson,MA,42.09,-72.31
1060,Northampton,MA,42.32,-72.67
1062,Florence,MA,42.32,-72.67
1068,Oakham,MA,42.35,-72.05
1069,Palmer,MA,42.16,-72.32
1070,Plainfield,MA,42.51,-72.91
1071,Russell,MA,42.18,-72.85
1072,Shutesbury,MA,42.45,-72.4
1073,Southampton,MA,42.23,-72.73
1075,South Hadley,MA,42.26,-72.56
1077,Southwick,MA,42.05,-72.76
1080,Three Rivers,MA,42.18,-72.37
1081,Wales,MA,42.06,-72.21
1082,Ware,MA,42.25,-72.24
1084,West Chesterfield,MA,42.41,-72.87
1085,Westfield,MA,42.13,-72.75
1088,West Hatfield,MA,42.39,-72.64
1089,West Springfield,MA,42.12,-72.65
1095,Wilbraham,MA,42.13,-72.43
1096,Williamsburg,MA,42.4,-72.71
1098,Worthington,MA,42.41,-72.93
1103,Springfield,MA,42.11,-72.53
1104,Springfield,MA,42.11,-72.53
1105,Springfield,MA,42.11,-72.53
1106,Longmeadow,MA,42.04,-72.57
1107,Springfield,MA,42.11,-72.53
1108,Springfield,MA,42.11,-72.53
1109,Springfield,MA,42.11,-72.53
1118,Springfield,MA,42.11,-72.53
1119,Springfield,MA,42.11,-72.53
1128,Springfield,MA,42.11,-72.53
1129,Springfield,MA,42.11,-72.53
1144,Springfield,MA,42.11,-72.53
1151,Indian Orchard,MA,42.15,-72.51
1152,Springfield,MA,42.11,-72.53
1195,Springfield,MA,42.1,-72.58
1201,Pittsfield,MA,42.45,-73.26
1220,Adams,MA,42.62,-73.11
1222,Ashley Falls,MA,42.05,-73.33
1223,Becket,MA,42.33,-73.07
1224,Berkshire,MA,42.51,-73.19
1225,Cheshire,MA,42.55,-73.15
1226,Dalton,MA,42.47,-73.16
1230,Great Barrington,MA,42.19,-73.35
1235,Hinsdale,MA,42.42,-73.07
1236,Housatonic,MA,42.25,-73.36
1237,Lanesboro,MA,42.51,-73.22
1238,Lee,MA,42.3,-73.25
1240,Lenox,MA,42.35,-73.28
1245,Monterey,MA,42.18,-73.21
1247,North Adams,MA,42.68,-73.11
1253,Otis,MA,42.19,-73.07
1254,Richmond,MA,42.37,-73.36
1255,Sandisfield,MA,42.11,-73.13
1256,Savoy,MA,42.56,-73.02
1257,Sheffield,MA,42.1,-73.34
1258,South Egremont,MA,42.16,-73.41
1259,Southfield,MA,42.07,-73.23
1266,West Stockbridge,MA,42.31,-73.39
1267,Williamstown,MA,42.7,-73.2
1270,Windsor,MA,42.51,-73.04
1301,Greenfield,MA,42.58,-72.59
1330,Ashfield,MA,42.53,-72.78
1331,Athol,MA,42.59,-72.23
