zip,primary_city,state,latitude,longitude
79027,Dimmitt,TX,34.54,-102.31
79029,Dumas,TX,35.86,-101.96
79031,Earth,TX,34.23,-102.4
79034,Follett,TX,36.43,-100.14
79035,Friona,TX,34.63,-102.72
79036,Fritch,TX,35.64,-101.59
79039,Groom,TX,35.2,-101.1
79040,Gruver,TX,36.25,-101.41
79041,Hale Center,TX,34.06,-101.84
79042,Happy,TX,34.74,-101.85
79043,Hart,TX,34.38,-102.11
79044,Hartley,TX,35.88,-102.39
79045,Hereford,TX,34.82,-102.39
79046,Higgins,TX,36.12,-100.02
79052,Kress,TX,34.36,-101.74
79056,Lipscomb,TX,36.23,-100.27
79057,Mclean,TX,35.23,-100.6
79058,Masterson,TX,35.63,-101.96
79059,Miami,TX,35.69,-100.64
79061,Mobeetie,TX,35.53,-100.44
79062,Morse,TX,36.06,-101.47
79063,Nazareth,TX,34.54,-102.1
79064,Olton,TX,34.17,-102.13
79065,Pampa,TX,35.54,-100.96
79068,Panhandle,TX,35.34,-101.38
79070,Perryton,TX,36.39,-100.8
79072,Plainview,TX,34.19,-101.72
79079,Shamrock,TX,35.21,-100.24
79080,Skellytown,TX,35.57,-101.17
79081,Spearman,TX,36.19,-101.19
79082,Springlake,TX,34.23,-102.3
79083,Stinnett,TX,35.82,-101.44
79084,Stratford,TX,36.33,-102.07
79085,Summerfield,TX,34.74,-102.51
79086,Sunray,TX,36.01,-101.82
79087,Texline,TX,36.37,-103.01
79088,Tulia,TX,34.53,-101.77
79092,Vega,TX,35.24,-102.42
79094,Wayside,TX,34.79,-101.54
79095,Wellington,TX,34.85,-100.21
79096,Wheeler,TX,35.44,-100.27
79097,White Deer,TX,35.43,-101.17
79098,Wildorado,TX,35.21,-102.24
79101,Amarillo,TX,35.2,-101.81
79102,Amarillo,TX,35.2,-101.81
79103,Amarillo,TX,35.2,-101.81
79104,Amarillo,TX,35.2,-101.81
79106,Amarillo,TX,35.2,-101.81
79107,Amarillo,TX,35.2,-101.81
79108,Amarillo,TX,35.2,-101.81
79109,Amarillo,TX,35.2,-101.81
79110,Amarillo,TX,35.2,-101.81
79111,Amarillo,TX,35.2,-101.81
79118,Amarillo,TX,35.2,-101.81
79119,Amarillo,TX,35.2,-101.81
79121,Amarillo,TX,35.2,-101.81
79124,Amarillo,TX,35.2,-101.81
79201,Childress,TX,34.42,-100.24
79220,Afton,TX,33.76,-100.81
79223,Cee Vee,TX,34.22,-100.44
79225,Chillicothe,TX,34.25,-99.51
79226,Clarendon,TX,34.93,-100.89
