zip,primary_city,state,latitude,longitude,Division
80002,Arvada,CO,39.82,-105.1,denver
80003,Arvada,CO,39.82,-105.1,denver
80004,Arvada,CO,39.82,-105.1,denver
80005,Arvada,CO,39.82,-105.1,denver
80007,Arvada,CO,39.82,-105.1,denver
80010,Aurora,CO,39.69,-104.81,denver
80011,Aurora,CO,39.69,-104.81,denver
80012,Aurora,CO,39.69,-104.81,denver
80013,Aurora,CO,39.69,-104.81,denver
80014,Aurora,CO,39.69,-104.81,denver
80015,Aurora,CO,39.69,-104.81,denver
80016,Aurora,CO,39.69,-104.81,denver
80017,Aurora,CO,39.69,-104.81,denver
80018,Aurora,CO,39.69,-104.81,denver
80019,Aurora,CO,39.69,-104.81,denver
80020,Broomfield,CO,39.94,-105.06,denver
80021,Broomfield,CO,39.94,-105.06,denver
80022,Commerce City,CO,39.86,-104.86,denver
80023,Broomfield,CO,39.96,-105.02,denver
80026,Lafayette,CO,39.99,-105.09,denver
80027,Louisville,CO,39.96,-105.14,denver
80030,Westminster,CO,39.88,-105.05,denver
80031,Westminster,CO,39.88,-105.05,denver
80033,Wheat Ridge,CO,39.77,-105.09,denver
80045,Aurora,CO,39.69,-104.81,denver
80047,Aurora,CO,39.69,-104.81,denver
80101,Agate,CO,39.47,-103.95,
80102,Bennett,CO,39.75,-104.42,
80103,Byers,CO,39.71,-104.22,
80104,Castle Rock,CO,39.37,-104.85,
80105,Deer Trail,CO,39.61,-104.04,
80106,Elbert,CO,39.22,-104.53,
80107,Elizabeth,CO,39.36,-104.6,
80108,Castle Rock,CO,39.37,-104.85,denver
80109,Castle Rock,CO,39.36,-104.9,denver
80110,Englewood,CO,39.64,-104.99,
80111,Englewood,CO,39.64,-104.99,
80112,Englewood,CO,39.64,-104.99,
80113,Englewood,CO,39.64,-104.96,
80116,Franktown,CO,39.38,-104.75,
80117,Kiowa,CO,39.34,-104.46,
80118,Larkspur,CO,39.18,-104.89,
80120,Littleton,CO,39.59,-105.01,
80121,Littleton,CO,39.59,-105.01,
80122,Littleton,CO,39.59,-105.01,
80123,Littleton,CO,39.59,-105.01,
80124,Lone Tree,CO,39.59,-105.01,
80125,Littleton,CO,39.59,-105.01,
80126,Littleton,CO,39.59,-105.01,
80127,Littleton,CO,39.57,-105.14,
80128,Littleton,CO,39.59,-105.01,
80129,Littleton,CO,39.54,-105,
80130,Littleton,CO,39.54,-104.93,
80132,Monument,CO,39.07,-104.85,
80133,Palmer Lake,CO,39.11,-104.9,
80134,Parker,CO,39.5,-104.76,
80135,Sedalia,CO,39.43,-104.97,
80136,Strasburg,CO,39.73,-104.3,
80137,Watkins,CO,39.75,-104.6,
80138,Parker,CO,39.5,-104.76,
80202,Denver,CO,39.76,-104.87,denver
80203,Denver,CO,39.76,-104.87,denver
80204,Denver,CO,39.76,-104.87,denver
80205,Denver,CO,39.76,-104.87,denver
80206,Denver,CO,39.76,-104.87,denver
80207,Denver,CO,39.76,-104.87,denver
80209,Denver,CO,39.76,-104.87,denver
80210,Denver,CO,39.76,-104.87,denver
80211,Denver,CO,39.76,-104.87,denver
80212,Denver,CO,39.76,-104.87,denver
80214,Denver,CO,39.76,-104.87,denver
80215,Denver,CO,39.76,-104.87,denver
80216,Denver,CO,39.76,-104.87,denver
80218,Denver,CO,39.76,-104.87,denver
80219,Denver,CO,39.76,-104.87,denver
80220,Denver,CO,39.76,-104.87,denver
80221,Denver,CO,39.76,-104.87,denver
80222,Denver,CO,39.76,-104.87,denver
80223,Denver,CO,39.76,-104.87,denver
80224,Denver,CO,39.76,-104.87,denver
80225,Denver,CO,39.76,-104.87,denver
80226,Denver,CO,39.76,-104.87,denver
80227,Denver,CO,39.76,-104.87,denver
