zip,primary_city,state,latitude,longitude,Division,,,,,,,,,
80020,Broomfield,CO,39.94,-105.06,,,,,,,,,,
80021,Broomfield,CO,39.94,-105.06,,,,,,,,,,
80022,Commerce City,CO,39.86,-104.86,,,,,,,,,,
80030,Westminster,CO,39.88,-105.05,,,,,,,,,,
80031,Westminster,CO,39.88,-105.05,,,,,,,,,,
80033,Wheat Ridge,CO,39.77,-105.09,,,,,,,,,,
80045,Aurora,CO,39.69,-104.81,,,,,,,,,,
80047,Aurora,CO,39.69,-104.81,,,,,,,,,,
80101,Agate,CO,39.47,-103.95,,,,,,,,,,
89011,Henderson,NV,36.09,-114.9,,,,,,,,,,
89012,Henderson,NV,36,-115.04,,,,,,,,,,
89013,Goldfield,NV,37.53,-117.51,,,,,,,,,,
89014,Henderson,NV,36.05,-115.05,,,,,,,,,,
89015,Henderson,NV,36.01,-114.95,,,,,,,,,,
89020,Amargosa Valley,NV,36.53,-116.47,,,,,,,,,,
89027,Mesquite,NV,36.78,-114.14,,,,,,,,,,
89029,Laughlin,NV,35.1,-114.71,,,,,,,,,,
89030,North Las Vegas,NV,36.21,-115.12,,,,,,,,,,
